,schedule_date,schedule_season,schedule_week,team_home,team_away,team_favorite_id,spread_favorite,over_under_line,weather_detail,weather_temperature,weather_wind_mph,weather_humidity,score_home,score_away,stadium_neutral,schedule_playoff,total,oudiff,oudiff_abs,spread_dist,dates,dateofgame,dayofweek,total_upper2,total_lower2,ouopp_o2,ouopp_u2,tie_ou,tie_ou2,result_total_plus_minus_two,under,over,over_under_tie_credit,under_result,over_result,to_spread,usd,cred,result,away_dogs_,away_dogs
33,9/26/1999,1999,3,JAX,TEN,JAX,-9.5,45.0,,76.0,8.0,90.0,19.0,20.0,False,False,39.0,-6.0,6.0,-8.5,9/26/1999,9/26/1999,6,47.0,43.0,-150,100,0,0,-50,100,-110,0,100,-110,-10.5,100,0,100,-110,-110
34,9/26/1999,1999,3,KC,DET,KC,-3.5,39.5,,68.0,11.0,75.0,31.0,21.0,False,False,52.0,12.5,12.5,6.5,9/26/1999,9/26/1999,6,41.5,37.5,100,-150,0,0,-50,-110,100,0,-110,100,6.5,-110,0,-110,100,100
35,9/26/1999,1999,3,NE,NYG,NE,-6.0,43.5,,58.0,10.0,73.0,16.0,14.0,False,False,30.0,-13.5,13.5,-4.0,9/26/1999,9/26/1999,6,45.5,41.5,-150,100,0,0,-50,100,-110,0,100,-110,-4.0,100,0,100,-110,-110
37,9/26/1999,1999,3,OAK,CHI,OAK,-7.0,38.0,,69.0,9.0,54.0,24.0,17.0,False,False,41.0,3.0,3.0,0.0,9/26/1999,9/26/1999,6,40.0,36.0,100,-150,0,0,-50,-110,100,0,-110,100,0.0,-110,110,0,-110,0
38,9/26/1999,1999,3,PIT,SEA,PIT,-4.0,38.0,,64.0,6.0,56.0,10.0,29.0,False,False,39.0,1.0,1.0,15.0,9/26/1999,9/26/1999,6,40.0,36.0,100,100,0,0,200,-110,100,0,-110,100,-23.0,100,0,100,-110,-110
39,9/26/1999,1999,3,TB,DEN,TB,-2.5,38.0,,78.0,7.0,90.0,13.0,10.0,False,False,23.0,-15.0,15.0,0.5,9/26/1999,9/26/1999,6,40.0,36.0,-150,100,0,0,-50,100,-110,0,100,-110,0.5,-110,0,-110,100,100
41,10/3/1999,1999,4,ATL,BAL,ATL,-2.5,36.5,DOME,72.0,0.0,,13.0,19.0,False,False,32.0,-4.5,4.5,3.5,10/3/1999,10/3/1999,6,38.5,34.5,-150,100,0,0,-50,100,-110,0,100,-110,-8.5,100,0,100,-110,-110
45,10/3/1999,1999,4,DAL,ARI,DAL,-7.0,42.5,,78.0,10.0,54.0,35.0,7.0,False,False,42.0,-0.5,0.5,21.0,10/3/1999,10/3/1999,6,44.5,40.5,100,100,0,0,200,100,-110,0,100,-110,21.0,-110,0,-110,100,100
46,10/3/1999,1999,4,DEN,NYJ,DEN,-5.5,40.0,,41.0,11.0,75.0,13.0,21.0,False,False,34.0,-6.0,6.0,2.5,10/3/1999,10/3/1999,6,42.0,38.0,-150,100,0,0,-50,100,-110,0,100,-110,-13.5,100,0,100,-110,-110
47,10/3/1999,1999,4,MIN,TB,MIN,-7.0,40.5,DOME,72.0,0.0,,21.0,14.0,False,False,35.0,-5.5,5.5,0.0,10/3/1999,10/3/1999,6,42.5,38.5,-150,100,0,0,-50,100,-110,0,100,-110,0.0,-110,110,0,-110,0
48,10/3/1999,1999,4,NYG,PHI,NYG,-9.5,35.5,,67.0,12.0,71.0,16.0,15.0,False,False,31.0,-4.5,4.5,-8.5,10/3/1999,10/3/1999,6,37.5,33.5,-150,100,0,0,-50,100,-110,0,100,-110,-8.5,100,0,100,-110,-110
50,10/3/1999,1999,4,SF,TEN,SF,-1.5,40.5,,60.0,9.0,78.0,24.0,22.0,False,False,46.0,5.5,5.5,0.5,10/3/1999,10/3/1999,6,42.5,38.5,100,-150,0,0,-50,-110,100,0,-110,100,0.5,-110,0,-110,100,100
51,10/3/1999,1999,4,SEA,OAK,SEA,-3.5,40.5,DOME,72.0,0.0,,22.0,21.0,False,False,43.0,2.5,2.5,-2.5,10/3/1999,10/3/1999,6,42.5,38.5,100,-150,0,0,-50,-110,100,0,-110,100,-2.5,100,0,100,-110,-110
52,10/3/1999,1999,4,WAS,CAR,WAS,-8.5,45.5,,66.0,8.0,74.0,38.0,36.0,False,False,74.0,28.5,28.5,-6.5,10/3/1999,10/3/1999,6,47.5,43.5,100,-150,0,0,-50,-110,100,0,-110,100,-6.5,100,0,100,-110,-110
53,10/4/1999,1999,4,MIA,BUF,MIA,-4.5,40.5,,82.0,13.0,83.0,18.0,23.0,False,False,41.0,0.5,0.5,0.5,10/4/1999,10/4/1999,0,42.5,38.5,100,100,0,0,200,-110,100,0,-110,100,-9.5,100,0,100,-110,-110
