,schedule_date,schedule_season,schedule_week,team_home,team_away,team_favorite_id,spread_favorite,over_under_line,weather_detail,weather_temperature,weather_wind_mph,weather_humidity,score_home,score_away,stadium_neutral,schedule_playoff,total,oudiff,oudiff_abs,spread_dist,dates,dateofgame,dayofweek,total_upper2,total_lower2,ouopp_o2,ouopp_u2,tie_ou,tie_ou2,result_total_plus_minus_two,under,over,over_under_tie_credit,under_result,over_result,to_spread,usd,cred,result,away_dogs_,away_dogs
1235,9/12/2004,2004,1,PIT,OAK,PIT,-3.5,41.5,,66.0,3.0,72.0,24.0,21.0,False,False,45.0,3.5,3.5,-0.5,9/12/2004,9/12/2004,6,43.5,39.5,100,-150,0,0,-50,-110,100,0,-110,100,-0.5,100,0,100,-110,-110
1237,9/12/2004,2004,1,WAS,TB,WAS,-2.5,38.5,,72.0,6.0,72.0,16.0,10.0,False,False,26.0,-12.5,12.5,3.5,9/12/2004,9/12/2004,6,40.5,36.5,-150,100,0,0,-50,100,-110,0,100,-110,3.5,-110,0,-110,100,100
1238,9/13/2004,2004,1,CAR,GB,CAR,-3.0,43.5,,71.0,7.0,72.0,14.0,24.0,False,False,38.0,-5.5,5.5,7.0,9/13/2004,9/13/2004,0,45.5,41.5,-150,100,0,0,-50,100,-110,0,100,-110,-13.0,100,0,100,-110,-110
1240,9/19/2004,2004,2,ATL,,ATL,-2.0,46.0,DOME,72.0,0.0,,34.0,17.0,False,False,51.0,5.0,5.0,15.0,9/19/2004,9/19/2004,6,48.0,44.0,100,-150,0,0,-50,-110,100,0,-110,100,15.0,-110,0,-110,100,100
1241,9/19/2004,2004,2,BAL,PIT,BAL,-4.0,35.5,,60.0,11.0,54.0,30.0,13.0,False,False,43.0,7.5,7.5,13.0,9/19/2004,9/19/2004,6,37.5,33.5,100,-150,0,0,-50,-110,100,0,-110,100,13.0,-110,0,-110,100,100
1242,9/19/2004,2004,2,CIN,MIA,CIN,-5.5,40.0,,64.0,11.0,49.0,16.0,13.0,False,False,29.0,-11.0,11.0,-2.5,9/19/2004,9/19/2004,6,42.0,38.0,-150,100,0,0,-50,100,-110,0,100,-110,-2.5,100,0,100,-110,-110
1243,9/19/2004,2004,2,DAL,CLE,DAL,-4.5,38.0,,83.0,10.0,47.0,19.0,12.0,False,False,31.0,-7.0,7.0,2.5,9/19/2004,9/19/2004,6,40.0,36.0,-150,100,0,0,-50,100,-110,0,100,-110,2.5,-110,0,-110,100,100
1244,9/19/2004,2004,2,DET,HOU,DET,-3.0,43.5,DOME,72.0,0.0,,28.0,16.0,False,False,44.0,0.5,0.5,9.0,9/19/2004,9/19/2004,6,45.5,41.5,100,100,0,0,200,-110,100,0,-110,100,9.0,-110,0,-110,100,100
1245,9/19/2004,2004,2,GB,CHI,GB,-9.0,41.0,,65.0,11.0,62.0,10.0,21.0,False,False,31.0,-10.0,10.0,2.0,9/19/2004,9/19/2004,6,43.0,39.0,-150,100,0,0,-50,100,-110,0,100,-110,-20.0,100,0,100,-110,-110
1247,9/19/2004,2004,2,KC,CAR,KC,-7.0,46.0,,74.0,13.0,73.0,17.0,28.0,False,False,45.0,-1.0,1.0,4.0,9/19/2004,9/19/2004,6,48.0,44.0,100,100,0,0,200,100,-110,0,100,-110,-18.0,100,0,100,-110,-110
1248,9/19/2004,2004,2,NO,SF,NO,-7.5,42.0,DOME,72.0,0.0,,30.0,27.0,False,False,57.0,15.0,15.0,-4.5,9/19/2004,9/19/2004,6,44.0,40.0,100,-150,0,0,-50,-110,100,0,-110,100,-4.5,100,0,100,-110,-110
1250,9/19/2004,2004,2,OAK,BUF,OAK,-3.5,37.5,,60.0,19.0,72.0,13.0,10.0,False,False,23.0,-14.5,14.5,-0.5,9/19/2004,9/19/2004,6,39.5,35.5,-150,100,0,0,-50,100,-110,0,100,-110,-0.5,100,0,100,-110,-110
1253,9/20/2004,2004,2,PHI,MIN,PHI,-3.0,51.0,,61.0,12.0,52.0,27.0,16.0,False,False,43.0,-8.0,8.0,8.0,9/20/2004,9/20/2004,0,53.0,49.0,-150,100,0,0,-50,100,-110,0,100,-110,8.0,-110,0,-110,100,100
1254,9/26/2004,2004,3,ATL,ARI,ATL,-11.0,44.0,DOME,72.0,0.0,,6.0,3.0,False,False,9.0,-35.0,35.0,-8.0,9/26/2004,9/26/2004,6,46.0,42.0,-150,100,0,0,-50,100,-110,0,100,-110,-8.0,100,0,100,-110,-110
1256,9/26/2004,2004,3,DEN,,DEN,-9.5,46.0,,58.0,10.0,59.0,23.0,13.0,False,False,36.0,-10.0,10.0,0.5,9/26/2004,9/26/2004,6,48.0,44.0,-150,100,0,0,-50,100,-110,0,100,-110,0.5,-110,0,-110,100,100
1258,9/26/2004,2004,3,IND,GB,IND,-6.0,50.0,DOME,72.0,0.0,,45.0,31.0,False,False,76.0,26.0,26.0,8.0,9/26/2004,9/26/2004,6,52.0,48.0,100,-150,0,0,-50,-110,100,0,-110,100,8.0,-110,0,-110,100,100
1259,9/26/2004,2004,3,KC,HOU,KC,-7.5,48.0,,66.0,6.0,70.0,21.0,24.0,False,False,45.0,-3.0,3.0,-4.5,9/26/2004,9/26/2004,6,50.0,46.0,-150,100,0,0,-50,100,-110,0,100,-110,-10.5,100,0,100,-110,-110
1260,9/26/2004,2004,3,MIA,PIT,MIA,-2.5,31.0,,80.0,21.0,84.0,3.0,13.0,False,False,16.0,-15.0,15.0,7.5,9/26/2004,9/26/2004,6,33.0,29.0,-150,100,0,0,-50,100,-110,0,100,-110,-12.5,100,0,100,-110,-110
1261,9/26/2004,2004,3,MIN,CHI,MIN,-12.0,45.0,DOME,72.0,0.0,,27.0,22.0,False,False,49.0,4.0,4.0,-7.0,9/26/2004,9/26/2004,6,47.0,43.0,100,-150,0,0,-50,-110,100,0,-110,100,-7.0,100,0,100,-110,-110
1262,9/26/2004,2004,3,NYG,CLE,NYG,-3.0,38.0,,72.0,7.0,62.0,27.0,10.0,False,False,37.0,-1.0,1.0,14.0,9/26/2004,9/26/2004,6,40.0,36.0,100,100,0,0,200,100,-110,0,100,-110,14.0,-110,0,-110,100,100
1263,9/26/2004,2004,3,OAK,TB,OAK,-3.0,35.5,,62.0,8.0,76.0,30.0,20.0,False,False,50.0,14.5,14.5,7.0,9/26/2004,9/26/2004,6,37.5,33.5,100,-150,0,0,-50,-110,100,0,-110,100,7.0,-110,0,-110,100,100
1264,9/26/2004,2004,3,SEA,SF,SEA,-10.0,41.5,,55.0,3.0,91.0,34.0,0.0,False,False,34.0,-7.5,7.5,24.0,9/26/2004,9/26/2004,6,43.5,39.5,-150,100,0,0,-50,100,-110,0,100,-110,24.0,-110,0,-110,100,100
1265,9/26/2004,2004,3,TEN,JAX,TEN,-6.0,34.5,,72.0,11.0,49.0,12.0,15.0,False,False,27.0,-7.5,7.5,-3.0,9/26/2004,9/26/2004,6,36.5,32.5,-150,100,0,0,-50,100,-110,0,100,-110,-9.0,100,0,100,-110,-110
1266,9/27/2004,2004,3,WAS,DAL,WAS,-1.5,35.5,,70.0,6.0,76.0,18.0,21.0,False,False,39.0,3.5,3.5,1.5,9/27/2004,9/27/2004,0,37.5,33.5,100,-150,0,0,-50,-110,100,0,-110,100,-4.5,100,0,100,-110,-110
1269,10/3/2004,2004,4,CAR,ATL,CAR,-3.5,39.0,,67.0,5.0,88.0,10.0,27.0,False,False,37.0,-2.0,2.0,13.5,10/3/2004,10/3/2004,6,41.0,37.0,-150,100,150,0,100,100,-110,0,100,-110,-20.5,100,0,100,-110,-110
1272,10/3/2004,2004,4,GB,NYG,GB,-7.0,44.0,,52.0,15.0,47.0,7.0,14.0,False,False,21.0,-23.0,23.0,0.0,10/3/2004,10/3/2004,6,46.0,42.0,-150,100,0,0,-50,100,-110,0,100,-110,-14.0,100,0,100,-110,-110
1276,10/3/2004,2004,4,PIT,CIN,PIT,-4.0,39.5,,50.0,5.0,75.0,28.0,17.0,False,False,45.0,5.5,5.5,7.0,10/3/2004,10/3/2004,6,41.5,37.5,100,-150,0,0,-50,-110,100,0,-110,100,7.0,-110,0,-110,100,100
1279,10/4/2004,2004,4,BAL,KC,BAL,-6.0,41.5,,62.0,4.0,70.0,24.0,27.0,False,False,51.0,9.5,9.5,-3.0,10/4/2004,10/4/2004,0,43.5,39.5,100,-150,0,0,-50,-110,100,0,-110,100,-9.0,100,0,100,-110,-110
1280,10/10/2004,2004,5,ATL,DET,ATL,-6.5,41.0,DOME,72.0,0.0,,10.0,17.0,False,False,27.0,-14.0,14.0,0.5,10/10/2004,10/10/2004,6,43.0,39.0,-150,100,0,0,-50,100,-110,0,100,-110,-13.5,100,0,100,-110,-110
1281,10/10/2004,2004,5,DAL,NYG,DAL,-3.5,38.5,,66.0,11.0,91.0,10.0,26.0,False,False,36.0,-2.5,2.5,12.5,10/10/2004,10/10/2004,6,40.5,36.5,-150,100,0,0,-50,100,-110,0,100,-110,-19.5,100,0,100,-110,-110
1282,10/10/2004,2004,5,DEN,CAR,DEN,-4.0,38.0,,55.0,12.0,38.0,20.0,17.0,False,False,37.0,-1.0,1.0,-1.0,10/10/2004,10/10/2004,6,40.0,36.0,100,100,0,0,200,100,-110,0,100,-110,-1.0,100,0,100,-110,-110
1284,10/10/2004,2004,5,IND,OAK,IND,-8.5,52.0,DOME,72.0,0.0,,35.0,14.0,False,False,49.0,-3.0,3.0,12.5,10/10/2004,10/10/2004,6,54.0,50.0,-150,100,0,0,-50,100,-110,0,100,-110,12.5,-110,0,-110,100,100
1285,10/10/2004,2004,5,NE,MIA,NE,-11.0,34.0,,62.0,11.0,68.0,24.0,10.0,False,False,34.0,0.0,0.0,3.0,10/10/2004,10/10/2004,6,36.0,32.0,100,100,0,0,200,-110,-110,110,0,0,3.0,-110,0,-110,100,100
1286,10/10/2004,2004,5,NO,TB,NO,-3.0,38.5,DOME,72.0,0.0,,17.0,20.0,False,False,37.0,-1.5,1.5,0.0,10/10/2004,10/10/2004,6,40.5,36.5,100,100,0,0,200,100,-110,0,100,-110,-6.0,100,0,100,-110,-110
1287,10/10/2004,2004,5,NYJ,BUF,NYJ,-6.5,37.0,,64.0,13.0,66.0,16.0,14.0,False,False,30.0,-7.0,7.0,-4.5,10/10/2004,10/10/2004,6,39.0,35.0,-150,100,0,0,-50,100,-110,0,100,-110,-4.5,100,0,100,-110,-110
1288,10/10/2004,2004,5,PIT,CLE,PIT,-4.5,36.0,,53.0,9.0,81.0,34.0,23.0,False,False,57.0,21.0,21.0,6.5,10/10/2004,10/10/2004,6,38.0,34.0,100,-150,0,0,-50,-110,100,0,-110,100,6.5,-110,0,-110,100,100
1289,10/10/2004,2004,5,SF,ARI,SF,-1.0,36.5,,62.0,14.0,59.0,31.0,28.0,False,False,59.0,22.5,22.5,2.0,10/10/2004,10/10/2004,6,38.5,34.5,100,-150,0,0,-50,-110,100,0,-110,100,2.0,-110,0,-110,100,100
1290,10/10/2004,2004,5,SEA,,SEA,-8.0,44.0,,54.0,9.0,86.0,27.0,33.0,False,False,60.0,16.0,16.0,-2.0,10/10/2004,10/10/2004,6,46.0,42.0,100,-150,0,0,-50,-110,100,0,-110,100,-14.0,100,0,100,-110,-110
1292,10/11/2004,2004,5,GB,TEN,GB,-3.0,44.0,,52.0,5.0,75.0,27.0,48.0,False,False,75.0,31.0,31.0,18.0,10/11/2004,10/11/2004,0,46.0,42.0,100,-150,0,0,-50,-110,100,0,-110,100,-24.0,100,0,100,-110,-110
1293,10/17/2004,2004,6,ATL,,ATL,-5.5,43.0,DOME,72.0,0.0,,21.0,20.0,False,False,41.0,-2.0,2.0,-4.5,10/17/2004,10/17/2004,6,45.0,41.0,-150,100,150,0,100,100,-110,0,100,-110,-4.5,100,0,100,-110,-110
1294,10/17/2004,2004,6,BUF,MIA,BUF,-4.5,30.0,,42.0,19.0,77.0,20.0,13.0,False,False,33.0,3.0,3.0,2.5,10/17/2004,10/17/2004,6,32.0,28.0,100,-150,0,0,-50,-110,100,0,-110,100,2.5,-110,0,-110,100,100
1295,10/17/2004,2004,6,CHI,WAS,CHI,-1.5,33.5,,41.0,15.0,57.0,10.0,13.0,False,False,23.0,-10.5,10.5,1.5,10/17/2004,10/17/2004,6,35.5,31.5,-150,100,0,0,-50,100,-110,0,100,-110,-4.5,100,0,100,-110,-110
1296,10/17/2004,2004,6,CLE,CIN,CLE,-3.0,40.0,,43.0,18.0,64.0,34.0,17.0,False,False,51.0,11.0,11.0,14.0,10/17/2004,10/17/2004,6,42.0,38.0,100,-150,0,0,-50,-110,100,0,-110,100,14.0,-110,0,-110,100,100
1297,10/17/2004,2004,6,DAL,PIT,DAL,-3.0,39.0,,69.0,12.0,68.0,20.0,24.0,False,False,44.0,5.0,5.0,1.0,10/17/2004,10/17/2004,6,41.0,37.0,100,-150,0,0,-50,-110,100,0,-110,100,-7.0,100,0,100,-110,-110
1298,10/17/2004,2004,6,DET,GB,DET,-3.0,45.0,DOME,72.0,0.0,,10.0,38.0,False,False,48.0,3.0,3.0,25.0,10/17/2004,10/17/2004,6,47.0,43.0,100,-150,0,0,-50,-110,100,0,-110,100,-31.0,100,0,100,-110,-110
1300,10/17/2004,2004,6,NE,SEA,NE,-3.5,42.0,,52.0,14.0,63.0,30.0,20.0,False,False,50.0,8.0,8.0,6.5,10/17/2004,10/17/2004,6,44.0,40.0,100,-150,0,0,-50,-110,100,0,-110,100,6.5,-110,0,-110,100,100
1302,10/17/2004,2004,6,NYJ,SF,NYJ,-9.5,43.0,,51.0,17.0,55.0,22.0,14.0,False,False,36.0,-7.0,7.0,-1.5,10/17/2004,10/17/2004,6,45.0,41.0,-150,100,0,0,-50,100,-110,0,100,-110,-1.5,100,0,100,-110,-110
1304,10/17/2004,2004,6,PHI,CAR,PHI,-10.0,42.0,,51.0,18.0,55.0,30.0,8.0,False,False,38.0,-4.0,4.0,12.0,10/17/2004,10/17/2004,6,44.0,40.0,-150,100,0,0,-50,100,-110,0,100,-110,12.0,-110,0,-110,100,100
1305,10/17/2004,2004,6,TEN,HOU,TEN,-5.5,46.0,,53.0,5.0,56.0,10.0,20.0,False,False,30.0,-16.0,16.0,4.5,10/17/2004,10/17/2004,6,48.0,44.0,-150,100,0,0,-50,100,-110,0,100,-110,-15.5,100,0,100,-110,-110
1307,10/24/2004,2004,7,BAL,BUF,BAL,-4.5,31.0,,46.0,3.0,86.0,20.0,6.0,False,False,26.0,-5.0,5.0,9.5,10/24/2004,10/24/2004,6,33.0,29.0,-150,100,0,0,-50,100,-110,0,100,-110,9.5,-110,0,-110,100,100
1308,10/24/2004,2004,7,CAR,,CAR,-3.0,42.0,,57.0,5.0,89.0,6.0,17.0,False,False,23.0,-19.0,19.0,8.0,10/24/2004,10/24/2004,6,44.0,40.0,-150,100,0,0,-50,100,-110,0,100,-110,-14.0,100,0,100,-110,-110
1310,10/24/2004,2004,7,GB,DAL,GB,-4.0,44.0,,53.0,12.0,76.0,41.0,20.0,False,False,61.0,17.0,17.0,17.0,10/24/2004,10/24/2004,6,46.0,42.0,100,-150,0,0,-50,-110,100,0,-110,100,17.0,-110,0,-110,100,100
1311,10/24/2004,2004,7,IND,JAX,IND,-9.0,47.0,DOME,72.0,0.0,,24.0,27.0,False,False,51.0,4.0,4.0,-6.0,10/24/2004,10/24/2004,6,49.0,45.0,100,-150,0,0,-50,-110,100,0,-110,100,-12.0,100,0,100,-110,-110
1312,10/24/2004,2004,7,KC,ATL,KC,-3.5,44.5,,59.0,11.0,51.0,56.0,10.0,False,False,66.0,21.5,21.5,42.5,10/24/2004,10/24/2004,6,46.5,42.5,100,-150,0,0,-50,-110,100,0,-110,100,42.5,-110,0,-110,100,100
1314,10/24/2004,2004,7,MIN,TEN,MIN,-6.0,53.0,DOME,72.0,0.0,,20.0,3.0,False,False,23.0,-30.0,30.0,11.0,10/24/2004,10/24/2004,6,55.0,51.0,-150,100,0,0,-50,100,-110,0,100,-110,11.0,-110,0,-110,100,100
1315,10/24/2004,2004,7,NE,NYJ,NE,-6.0,43.5,,48.0,18.0,75.0,13.0,7.0,False,False,20.0,-23.5,23.5,0.0,10/24/2004,10/24/2004,6,45.5,41.5,-150,100,0,0,-50,100,-110,0,100,-110,0.0,-110,110,0,-110,0
1316,10/24/2004,2004,7,NYG,DET,NYG,-7.0,40.0,,50.0,13.0,64.0,13.0,28.0,False,False,41.0,1.0,1.0,8.0,10/24/2004,10/24/2004,6,42.0,38.0,100,100,0,0,200,-110,100,0,-110,100,-22.0,100,0,100,-110,-110
1317,10/24/2004,2004,7,OAK,NO,OAK,-3.0,45.5,,59.0,8.0,86.0,26.0,31.0,False,False,57.0,11.5,11.5,2.0,10/24/2004,10/24/2004,6,47.5,43.5,100,-150,0,0,-50,-110,100,0,-110,100,-8.0,100,0,100,-110,-110
1318,10/24/2004,2004,7,TB,CHI,TB,-7.0,32.0,,72.0,8.0,70.0,19.0,7.0,False,False,26.0,-6.0,6.0,5.0,10/24/2004,10/24/2004,6,34.0,30.0,-150,100,0,0,-50,100,-110,0,100,-110,5.0,-110,0,-110,100,100
1320,10/31/2004,2004,8,BUF,ARI,BUF,-4.5,33.5,,57.0,24.0,67.0,38.0,14.0,False,False,52.0,18.5,18.5,19.5,10/31/2004,10/31/2004,6,35.5,31.5,100,-150,0,0,-50,-110,100,0,-110,100,19.5,-110,0,-110,100,100
1321,10/31/2004,2004,8,CHI,SF,CHI,-2.0,35.5,,50.0,14.0,71.0,23.0,13.0,False,False,36.0,0.5,0.5,8.0,10/31/2004,10/31/2004,6,37.5,33.5,100,100,0,0,200,-110,100,0,-110,100,8.0,-110,0,-110,100,100
1322,10/31/2004,2004,8,DAL,DET,DAL,-3.0,40.0,,71.0,12.0,69.0,31.0,21.0,False,False,52.0,12.0,12.0,7.0,10/31/2004,10/31/2004,6,42.0,38.0,100,-150,0,0,-50,-110,100,0,-110,100,7.0,-110,0,-110,100,100
1323,10/31/2004,2004,8,DEN,ATL,DEN,-7.0,39.5,,41.0,10.0,39.0,28.0,41.0,False,False,69.0,29.5,29.5,6.0,10/31/2004,10/31/2004,6,41.5,37.5,100,-150,0,0,-50,-110,100,0,-110,100,-20.0,100,0,100,-110,-110
1324,10/31/2004,2004,8,HOU,JAX,HOU,-2.0,42.0,DOME,72.0,0.0,,20.0,6.0,False,False,26.0,-16.0,16.0,12.0,10/31/2004,10/31/2004,6,44.0,40.0,-150,100,0,0,-50,100,-110,0,100,-110,12.0,-110,0,-110,100,100
1326,10/31/2004,2004,8,MIN,NYG,MIN,-6.5,48.5,DOME,72.0,0.0,,13.0,34.0,False,False,47.0,-1.5,1.5,14.5,10/31/2004,10/31/2004,6,50.5,46.5,100,100,0,0,200,100,-110,0,100,-110,-27.5,100,0,100,-110,-110
1327,10/31/2004,2004,8,PHI,BAL,PHI,-7.5,37.0,,64.0,13.0,71.0,15.0,10.0,False,False,25.0,-12.0,12.0,-2.5,10/31/2004,10/31/2004,6,39.0,35.0,-150,100,0,0,-50,100,-110,0,100,-110,-2.5,100,0,100,-110,-110
1329,10/31/2004,2004,8,SEA,CAR,SEA,-8.0,39.0,,45.0,9.0,74.0,23.0,17.0,False,False,40.0,1.0,1.0,-2.0,10/31/2004,10/31/2004,6,41.0,37.0,100,100,0,0,200,-110,100,0,-110,100,-2.0,100,0,100,-110,-110
1330,10/31/2004,2004,8,TEN,CIN,TEN,-3.0,39.5,,67.0,4.0,50.0,27.0,20.0,False,False,47.0,7.5,7.5,4.0,10/31/2004,10/31/2004,6,41.5,37.5,100,-150,0,0,-50,-110,100,0,-110,100,4.0,-110,0,-110,100,100
1332,11/1/2004,2004,8,NYJ,MIA,NYJ,-7.0,35.5,,59.0,17.0,49.0,41.0,14.0,False,False,55.0,19.5,19.5,20.0,11/1/2004,11/1/2004,0,37.5,33.5,100,-150,0,0,-50,-110,100,0,-110,100,20.0,-110,0,-110,100,100
1333,11/7/2004,2004,9,BAL,CLE,BAL,-6.0,35.0,,54.0,5.0,53.0,27.0,13.0,False,False,40.0,5.0,5.0,8.0,11/7/2004,11/7/2004,6,37.0,33.0,100,-150,0,0,-50,-110,100,0,-110,100,8.0,-110,0,-110,100,100
1335,11/7/2004,2004,9,CAR,OAK,CAR,-6.0,41.0,,54.0,4.0,59.0,24.0,27.0,False,False,51.0,10.0,10.0,-3.0,11/7/2004,11/7/2004,6,43.0,39.0,100,-150,0,0,-50,-110,100,0,-110,100,-9.0,100,0,100,-110,-110
1337,11/7/2004,2004,9,DEN,HOU,DEN,-7.0,44.0,,50.0,10.0,29.0,31.0,13.0,False,False,44.0,0.0,0.0,11.0,11/7/2004,11/7/2004,6,46.0,42.0,100,100,0,0,200,-110,-110,110,0,0,11.0,-110,0,-110,100,100
1338,11/7/2004,2004,9,DET,WAS,DET,-3.5,37.0,DOME,72.0,0.0,,10.0,17.0,False,False,27.0,-10.0,10.0,3.5,11/7/2004,11/7/2004,6,39.0,35.0,-150,100,0,0,-50,100,-110,0,100,-110,-10.5,100,0,100,-110,-110
1339,11/7/2004,2004,9,MIA,ARI,MIA,-3.0,34.5,,74.0,8.0,70.0,23.0,24.0,False,False,47.0,12.5,12.5,-2.0,11/7/2004,11/7/2004,6,36.5,32.5,100,-150,0,0,-50,-110,100,0,-110,100,-4.0,100,0,100,-110,-110
1340,11/7/2004,2004,9,NYG,CHI,NYG,-9.0,34.5,,59.0,12.0,45.0,21.0,28.0,False,False,49.0,14.5,14.5,-2.0,11/7/2004,11/7/2004,6,36.5,32.5,100,-150,0,0,-50,-110,100,0,-110,100,-16.0,100,0,100,-110,-110
1344,11/8/2004,2004,9,IND,MIN,IND,-7.0,58.0,DOME,72.0,0.0,,31.0,28.0,False,False,59.0,1.0,1.0,-4.0,11/8/2004,11/8/2004,0,60.0,56.0,100,100,0,0,200,-110,100,0,-110,100,-4.0,100,0,100,-110,-110
1345,11/14/2004,2004,10,ARI,NYG,ARI,-1.0,39.0,,62.0,12.0,46.0,17.0,14.0,False,False,31.0,-8.0,8.0,2.0,11/14/2004,11/14/2004,6,41.0,37.0,-150,100,0,0,-50,100,-110,0,100,-110,2.0,-110,0,-110,100,100
1346,11/14/2004,2004,10,ATL,TB,ATL,-3.5,41.0,DOME,72.0,0.0,,24.0,14.0,False,False,38.0,-3.0,3.0,6.5,11/14/2004,11/14/2004,6,43.0,39.0,-150,100,0,0,-50,100,-110,0,100,-110,6.5,-110,0,-110,100,100
1348,11/14/2004,2004,10,GB,MIN,GB,-4.5,50.0,,36.0,7.0,75.0,34.0,31.0,False,False,65.0,15.0,15.0,-1.5,11/14/2004,11/14/2004,6,52.0,48.0,100,-150,0,0,-50,-110,100,0,-110,100,-1.5,100,0,100,-110,-110
1349,11/14/2004,2004,10,IND,HOU,IND,-8.5,54.5,DOME,72.0,0.0,,49.0,14.0,False,False,63.0,8.5,8.5,26.5,11/14/2004,11/14/2004,6,56.5,52.5,100,-150,0,0,-50,-110,100,0,-110,100,26.5,-110,0,-110,100,100
1350,11/14/2004,2004,10,JAX,DET,JAX,-3.5,34.5,,65.0,22.0,82.0,23.0,17.0,False,False,40.0,5.5,5.5,2.5,11/14/2004,11/14/2004,6,36.5,32.5,100,-150,0,0,-50,-110,100,0,-110,100,2.5,-110,0,-110,100,100
1351,11/14/2004,2004,10,NE,BUF,NE,-7.0,38.0,,34.0,13.0,48.0,29.0,6.0,False,False,35.0,-3.0,3.0,16.0,11/14/2004,11/14/2004,6,40.0,36.0,-150,100,0,0,-50,100,-110,0,100,-110,16.0,-110,0,-110,100,100
1354,11/14/2004,2004,10,SF,CAR,SF,-1.5,41.5,,56.0,6.0,86.0,27.0,37.0,False,False,64.0,22.5,22.5,8.5,11/14/2004,11/14/2004,6,43.5,39.5,100,-150,0,0,-50,-110,100,0,-110,100,-11.5,100,0,100,-110,-110
1355,11/14/2004,2004,10,TEN,CHI,TEN,-5.5,34.0,,49.0,9.0,61.0,17.0,19.0,False,False,36.0,2.0,2.0,-3.5,11/14/2004,11/14/2004,6,36.0,32.0,100,-150,0,150,100,-110,100,0,-110,100,-7.5,100,0,100,-110,-110
1356,11/14/2004,2004,10,WAS,CIN,WAS,-4.0,36.5,,41.0,13.0,44.0,10.0,17.0,False,False,27.0,-9.5,9.5,3.0,11/14/2004,11/14/2004,6,38.5,34.5,-150,100,0,0,-50,100,-110,0,100,-110,-11.0,100,0,100,-110,-110
1358,11/21/2004,2004,11,BAL,DAL,BAL,-7.5,36.0,,55.0,3.0,90.0,30.0,10.0,False,False,40.0,4.0,4.0,12.5,11/21/2004,11/21/2004,6,38.0,34.0,100,-150,0,0,-50,-110,100,0,-110,100,12.5,-110,0,-110,100,100
1359,11/21/2004,2004,11,BUF,,BUF,-2.0,40.0,,50.0,11.0,86.0,37.0,17.0,False,False,54.0,14.0,14.0,18.0,11/21/2004,11/21/2004,6,42.0,38.0,100,-150,0,0,-50,-110,100,0,-110,100,18.0,-110,0,-110,100,100
1360,11/21/2004,2004,11,CAR,ARI,CAR,-3.0,38.0,,61.0,4.0,78.0,35.0,10.0,False,False,45.0,7.0,7.0,22.0,11/21/2004,11/21/2004,6,40.0,36.0,100,-150,0,0,-50,-110,100,0,-110,100,22.0,-110,0,-110,100,100
1365,11/21/2004,2004,11,JAX,TEN,JAX,-3.0,36.0,,71.0,5.0,78.0,15.0,18.0,False,False,33.0,-3.0,3.0,0.0,11/21/2004,11/21/2004,6,38.0,34.0,-150,100,0,0,-50,100,-110,0,100,-110,-6.0,100,0,100,-110,-110
1366,11/21/2004,2004,11,MIN,DET,MIN,-8.0,48.0,DOME,72.0,0.0,,22.0,19.0,False,False,41.0,-7.0,7.0,-5.0,11/21/2004,11/21/2004,6,50.0,46.0,-150,100,0,0,-50,100,-110,0,100,-110,-5.0,100,0,100,-110,-110
1370,11/21/2004,2004,11,PHI,WAS,PHI,-10.0,38.5,,51.0,7.0,89.0,28.0,6.0,False,False,34.0,-4.5,4.5,12.0,11/21/2004,11/21/2004,6,40.5,36.5,-150,100,0,0,-50,100,-110,0,100,-110,12.0,-110,0,-110,100,100
1371,11/21/2004,2004,11,SEA,MIA,SEA,-9.5,37.0,,41.0,3.0,81.0,24.0,17.0,False,False,41.0,4.0,4.0,-2.5,11/21/2004,11/21/2004,6,39.0,35.0,100,-150,0,0,-50,-110,100,0,-110,100,-2.5,100,0,100,-110,-110
1372,11/21/2004,2004,11,TB,SF,TB,-8.0,42.0,,71.0,5.0,73.0,35.0,3.0,False,False,38.0,-4.0,4.0,24.0,11/21/2004,11/21/2004,6,44.0,40.0,-150,100,0,0,-50,100,-110,0,100,-110,24.0,-110,0,-110,100,100
1374,11/25/2004,2004,12,DAL,CHI,DAL,-3.5,36.0,,47.0,12.0,57.0,21.0,7.0,False,False,28.0,-8.0,8.0,10.5,11/25/2004,11/25/2004,3,38.0,34.0,-150,100,0,0,-50,100,-110,0,100,-110,10.5,-110,0,-110,100,100
1377,11/28/2004,2004,12,ATL,NO,ATL,-9.0,47.5,DOME,72.0,0.0,,24.0,21.0,False,False,45.0,-2.5,2.5,-6.0,11/28/2004,11/28/2004,6,49.5,45.5,-150,100,0,0,-50,100,-110,0,100,-110,-6.0,100,0,100,-110,-110
1379,11/28/2004,2004,12,CIN,CLE,CIN,-6.0,37.5,,40.0,14.0,77.0,58.0,48.0,False,False,106.0,68.5,68.5,4.0,11/28/2004,11/28/2004,6,39.5,35.5,100,-150,0,0,-50,-110,100,0,-110,100,4.0,-110,0,-110,100,100
1380,11/28/2004,2004,12,DEN,OAK,DEN,-11.5,42.5,,24.0,15.0,88.0,24.0,25.0,False,False,49.0,6.5,6.5,-10.5,11/28/2004,11/28/2004,6,44.5,40.5,100,-150,0,0,-50,-110,100,0,-110,100,-12.5,100,0,100,-110,-110
