,schedule_date,schedule_season,schedule_week,team_home,team_away,team_favorite_id,spread_favorite,over_under_line,weather_detail,weather_temperature,weather_wind_mph,weather_humidity,score_home,score_away,stadium_neutral,schedule_playoff,total,oudiff,oudiff_abs,spread_dist,dates,dateofgame,dayofweek,total_upper2,total_lower2,ouopp_o2,ouopp_u2,tie_ou,tie_ou2,result_total_plus_minus_two,to_spread,usd,cred,result,against_home_dogs,away_Favs
1070,10/26/2003,2003,8,ARI,SF,SF,-7.0,41.0,,76.0,14.0,6.0,16.0,13.0,False,False,29.0,-12.0,12.0,4.0,10/26/2003,10/26/2003,6,43.0,39.0,-150,100,0,0,-50,-10.0,100,0,100,-110,-110
1073,10/26/2003,2003,8,CIN,SEA,SEA,-3.0,41.5,,51.0,10.0,88.0,27.0,24.0,False,False,51.0,9.5,9.5,0.0,10/26/2003,10/26/2003,6,43.5,39.5,100,-150,0,0,-50,-6.0,100,0,100,-110,-110
1075,10/26/2003,2003,8,JAX,TEN,TEN,-4.5,43.5,,75.0,7.0,74.0,17.0,30.0,False,False,47.0,3.5,3.5,-8.5,10/26/2003,10/26/2003,6,45.5,41.5,100,-150,0,0,-50,8.5,-110,0,-110,100,100
1083,11/2/2003,2003,9,ARI,CIN,CIN,-3.0,39.0,,65.0,8.0,52.0,17.0,14.0,False,False,31.0,-8.0,8.0,0.0,11/2/2003,11/2/2003,6,41.0,37.0,-150,100,0,0,-50,-6.0,100,0,100,-110,-110
1084,11/2/2003,2003,9,ATL,PHI,PHI,-6.0,39.5,DOME,72.0,0.0,,16.0,23.0,False,False,39.0,-0.5,0.5,-1.0,11/2/2003,11/2/2003,6,41.5,37.5,100,100,0,0,200,1.0,-110,0,-110,100,100
1088,11/2/2003,2003,9,DET,OAK,OAK,-3.5,39.5,DOME,72.0,0.0,,23.0,13.0,False,False,36.0,-3.5,3.5,-6.5,11/2/2003,11/2/2003,6,41.5,37.5,-150,100,0,0,-50,-13.5,100,0,100,-110,-110
1089,11/2/2003,2003,9,HOU,CAR,CAR,-6.0,37.0,DOME,72.0,0.0,,14.0,10.0,False,False,24.0,-13.0,13.0,2.0,11/2/2003,11/2/2003,6,39.0,35.0,-150,100,0,0,-50,-10.0,100,0,100,-110,-110
1092,11/2/2003,2003,9,NYJ,NYG,NYG,-3.5,40.0,,65.0,7.0,71.0,28.0,31.0,False,False,59.0,19.0,19.0,0.5,11/2/2003,11/2/2003,6,42.0,38.0,100,-150,0,0,-50,-0.5,100,0,100,-110,-110
1093,11/2/2003,2003,9,SF,,LAR,-5.0,44.0,,52.0,10.0,74.0,30.0,10.0,False,False,40.0,-4.0,4.0,-15.0,11/2/2003,11/2/2003,6,46.0,42.0,-150,100,0,0,-50,-25.0,100,0,100,-110,-110
1097,11/9/2003,2003,10,CAR,TB,TB,-3.5,34.5,,49.0,11.0,59.0,27.0,24.0,False,False,51.0,16.5,16.5,0.5,11/9/2003,11/9/2003,6,36.5,32.5,100,-150,0,0,-50,-6.5,100,0,100,-110,-110
1100,11/9/2003,2003,10,DET,CHI,PICK,0.0,37.5,DOME,72.0,0.0,,12.0,10.0,False,False,22.0,-15.5,15.5,-2.0,11/9/2003,11/9/2003,6,39.5,35.5,-150,100,0,0,-50,-2.0,100,0,100,-110,-110
1101,11/9/2003,2003,10,JAX,IND,IND,-6.0,44.0,,69.0,23.0,87.0,28.0,23.0,False,False,51.0,7.0,7.0,1.0,11/9/2003,11/9/2003,6,46.0,42.0,100,-150,0,0,-50,-11.0,100,0,100,-110,-110
1104,11/9/2003,2003,10,OAK,NYJ,NYJ,-3.0,38.0,,58.0,13.0,86.0,24.0,27.0,False,False,51.0,13.0,13.0,0.0,11/9/2003,11/9/2003,6,40.0,36.0,100,-150,0,0,-50,0.0,-110,110,0,-110,0
1107,11/9/2003,2003,10,WAS,SEA,SEA,-3.0,41.0,,39.0,10.0,40.0,27.0,20.0,False,False,47.0,6.0,6.0,-4.0,11/9/2003,11/9/2003,6,43.0,39.0,100,-150,0,0,-50,-10.0,100,0,100,-110,-110
1111,11/16/2003,2003,11,CHI,,LAR,-6.0,41.0,,44.0,5.0,98.0,21.0,23.0,False,False,44.0,3.0,3.0,4.0,11/16/2003,11/16/2003,6,43.0,39.0,100,-150,0,0,-50,-4.0,100,0,100,-110,-110
1112,11/16/2003,2003,11,CIN,KC,KC,-6.0,48.0,,47.0,8.0,90.0,24.0,19.0,False,False,43.0,-5.0,5.0,1.0,11/16/2003,11/16/2003,6,50.0,46.0,-150,100,0,0,-50,-11.0,100,0,100,-110,-110
1119,11/16/2003,2003,11,OAK,MIN,MIN,-4.5,46.0,,49.0,4.0,84.0,28.0,18.0,False,False,46.0,0.0,0.0,-5.5,11/16/2003,11/16/2003,6,48.0,44.0,100,100,0,0,200,-14.5,100,0,100,-110,-110
1125,11/23/2003,2003,12,ARI,,LAR,-7.0,44.0,,51.0,11.0,17.0,27.0,30.0,False,False,57.0,13.0,13.0,4.0,11/23/2003,11/23/2003,6,46.0,42.0,100,-150,0,0,-50,-4.0,100,0,100,-110,-110
1126,11/23/2003,2003,12,ATL,TEN,TEN,-6.5,44.0,DOME,72.0,0.0,,31.0,38.0,False,False,69.0,25.0,25.0,-0.5,11/23/2003,11/23/2003,6,46.0,42.0,100,-150,0,0,-50,0.5,-110,0,-110,100,100
1128,11/23/2003,2003,12,BUF,IND,IND,-3.0,38.5,,56.0,12.0,62.0,14.0,17.0,False,False,31.0,-7.5,7.5,0.0,11/23/2003,11/23/2003,6,40.5,36.5,-150,100,0,0,-50,0.0,-110,110,0,-110,0
1133,11/23/2003,2003,12,HOU,NE,NE,-5.0,37.0,DOME,72.0,0.0,,20.0,23.0,False,False,43.0,6.0,6.0,2.0,11/23/2003,11/23/2003,6,39.0,35.0,100,-150,0,0,-50,-2.0,100,0,100,-110,-110
1141,11/27/2003,2003,13,DET,GB,GB,-6.5,44.0,DOME,72.0,0.0,,22.0,14.0,False,False,36.0,-8.0,8.0,-1.5,11/27/2003,11/27/2003,3,46.0,42.0,-150,100,0,0,-50,-14.5,100,0,100,-110,-110
1147,11/30/2003,2003,13,JAX,TB,TB,-3.0,37.0,,48.0,8.0,50.0,17.0,10.0,False,False,27.0,-10.0,10.0,-4.0,11/30/2003,11/30/2003,6,39.0,35.0,-150,100,0,0,-50,-10.0,100,0,100,-110,-110
1149,11/30/2003,2003,13,OAK,DEN,DEN,-3.0,42.0,,54.0,8.0,82.0,8.0,22.0,False,False,30.0,-12.0,12.0,-11.0,11/30/2003,11/30/2003,6,44.0,40.0,-150,100,0,0,-50,11.0,-110,0,-110,100,100
1152,11/30/2003,2003,13,WAS,NO,NO,-1.0,42.5,,40.0,10.0,55.0,20.0,24.0,False,False,44.0,1.5,1.5,-3.0,11/30/2003,11/30/2003,6,44.5,40.5,100,100,0,0,200,3.0,-110,0,-110,100,100
1153,12/1/2003,2003,13,NYJ,TEN,TEN,-3.0,42.0,,47.0,17.0,47.0,24.0,17.0,False,False,41.0,-1.0,1.0,-4.0,12/1/2003,12/1/2003,0,44.0,40.0,100,100,0,0,200,-10.0,100,0,100,-110,-110
1154,12/7/2003,2003,14,ATL,CAR,CAR,-1.0,41.0,DOME,72.0,0.0,,20.0,14.0,False,False,34.0,-7.0,7.0,-5.0,12/7/2003,12/7/2003,6,43.0,39.0,-150,100,0,0,-50,-7.0,100,0,100,-110,-110
1161,12/7/2003,2003,14,MIN,SEA,SEA,-1.0,52.5,DOME,72.0,0.0,,34.0,7.0,False,False,41.0,-11.5,11.5,-26.0,12/7/2003,12/7/2003,6,54.5,50.5,-150,100,0,0,-50,-28.0,100,0,100,-110,-110
1169,12/8/2003,2003,14,CLE,,LAR,-5.5,43.5,,27.0,8.0,76.0,20.0,26.0,False,False,46.0,2.5,2.5,-0.5,12/8/2003,12/8/2003,0,45.5,41.5,100,-150,0,0,-50,0.5,-110,0,-110,100,100
1170,12/14/2003,2003,15,ARI,CAR,CAR,-7.0,38.5,,52.0,4.0,60.0,17.0,20.0,False,False,37.0,-1.5,1.5,4.0,12/14/2003,12/14/2003,6,40.5,36.5,100,100,0,0,200,-4.0,100,0,100,-110,-110
1171,12/14/2003,2003,15,CHI,MIN,MIN,-3.0,39.5,,28.0,9.0,83.0,13.0,10.0,False,False,23.0,-16.5,16.5,0.0,12/14/2003,12/14/2003,6,41.5,37.5,-150,100,0,0,-50,-6.0,100,0,100,-110,-110
1179,12/14/2003,2003,15,OAK,BAL,BAL,-7.0,38.0,,54.0,20.0,73.0,20.0,12.0,False,False,32.0,-6.0,6.0,-1.0,12/14/2003,12/14/2003,6,40.0,36.0,-150,100,0,0,-50,-15.0,100,0,100,-110,-110
1182,12/14/2003,2003,15,WAS,DAL,DAL,-3.0,34.0,,34.0,13.0,76.0,0.0,27.0,False,False,27.0,-7.0,7.0,-24.0,12/14/2003,12/14/2003,6,36.0,32.0,-150,100,0,0,-50,24.0,-110,0,-110,100,100
1184,12/20/2003,2003,16,MIN,KC,KC,-3.0,54.0,DOME,72.0,0.0,,45.0,20.0,False,False,65.0,11.0,11.0,-22.0,12/20/2003,12/20/2003,5,56.0,52.0,100,-150,0,0,-50,-28.0,100,0,100,-110,-110
1185,12/20/2003,2003,16,NYJ,NE,NE,-3.0,35.0,,35.0,14.0,59.0,16.0,21.0,False,False,37.0,2.0,2.0,-2.0,12/20/2003,12/20/2003,5,37.0,33.0,100,-150,0,150,100,2.0,-110,0,-110,100,100
1190,12/21/2003,2003,16,CLE,BAL,BAL,-3.0,35.5,,29.0,16.0,65.0,0.0,35.0,False,False,35.0,-0.5,0.5,-32.0,12/21/2003,12/21/2003,6,37.5,33.5,100,100,0,0,200,32.0,-110,0,-110,100,100
1192,12/21/2003,2003,16,HOU,TEN,TEN,-5.5,39.0,DOME,72.0,0.0,,24.0,27.0,False,False,51.0,12.0,12.0,2.5,12/21/2003,12/21/2003,6,41.0,37.0,100,-150,0,0,-50,-2.5,100,0,100,-110,-110
1198,12/22/2003,2003,16,OAK,GB,GB,-5.5,44.0,,51.0,8.0,87.0,7.0,41.0,False,False,48.0,4.0,4.0,-28.5,12/22/2003,12/22/2003,0,46.0,42.0,100,-150,0,0,-50,28.5,-110,0,-110,100,100
1201,12/27/2003,2003,17,WAS,PHI,PHI,-9.0,42.0,,43.0,11.0,40.0,7.0,31.0,False,False,38.0,-4.0,4.0,-15.0,12/27/2003,12/27/2003,5,44.0,40.0,-150,100,0,0,-50,15.0,-110,0,-110,100,100
1202,12/28/2003,2003,17,ARI,MIN,MIN,-7.5,45.5,,43.0,9.0,24.0,18.0,17.0,False,False,35.0,-10.5,10.5,6.5,12/28/2003,12/28/2003,6,47.5,43.5,-150,100,0,0,-50,-8.5,100,0,100,-110,-110
1206,12/28/2003,2003,17,DET,,LAR,-12.0,45.0,DOME,72.0,0.0,,30.0,20.0,False,False,50.0,5.0,5.0,2.0,12/28/2003,12/28/2003,6,47.0,43.0,100,-150,0,0,-50,-22.0,100,0,100,-110,-110
1208,12/28/2003,2003,17,HOU,IND,IND,-9.0,46.5,DOME,72.0,0.0,,17.0,20.0,False,False,37.0,-9.5,9.5,6.0,12/28/2003,12/28/2003,6,48.5,44.5,-150,100,0,0,-50,-6.0,100,0,100,-110,-110
1211,12/28/2003,2003,17,NO,DAL,DAL,-1.0,38.0,DOME,72.0,0.0,,13.0,7.0,False,False,20.0,-18.0,18.0,-5.0,12/28/2003,12/28/2003,6,40.0,36.0,-150,100,0,0,-50,-7.0,100,0,100,-110,-110
1212,12/28/2003,2003,17,NYG,CAR,CAR,-4.5,34.5,,42.0,7.0,47.0,24.0,37.0,False,False,61.0,26.5,26.5,-8.5,12/28/2003,12/28/2003,6,36.5,32.5,100,-150,0,0,-50,8.5,-110,0,-110,100,100
1214,1/3/2004,2003,18,BAL,TEN,TEN,-1.0,38.0,,,,,17.0,20.0,False,True,37.0,-1.0,1.0,-2.0,1/3/2004,1/3/2004,5,40.0,36.0,100,100,0,0,200,2.0,-110,0,-110,100,100
1225,9/11/2004,2004,1,MIA,TEN,TEN,-3.0,38.0,,84.0,14.0,73.0,7.0,17.0,False,False,24.0,-14.0,14.0,-7.0,9/11/2004,9/11/2004,5,40.0,36.0,-150,100,0,0,-50,7.0,-110,0,-110,100,100
1228,9/12/2004,2004,1,CLE,BAL,BAL,-3.5,37.0,,66.0,5.0,69.0,20.0,3.0,False,False,23.0,-14.0,14.0,-13.5,9/12/2004,9/12/2004,6,39.0,35.0,-150,100,0,0,-50,-20.5,100,0,100,-110,-110
1232,9/12/2004,2004,1,NO,SEA,SEA,-2.5,45.0,DOME,72.0,0.0,,7.0,21.0,False,False,28.0,-17.0,17.0,-11.5,9/12/2004,9/12/2004,6,47.0,43.0,-150,100,0,0,-50,11.5,-110,0,-110,100,100
1236,9/12/2004,2004,1,SF,ATL,ATL,-3.0,44.5,,65.0,21.0,81.0,19.0,21.0,False,False,40.0,-4.5,4.5,1.0,9/12/2004,9/12/2004,6,46.5,42.5,-150,100,0,0,-50,-1.0,100,0,100,-110,-110
1239,9/19/2004,2004,2,ARI,NE,NE,-8.0,41.5,,78.0,14.0,70.0,12.0,23.0,False,False,35.0,-6.5,6.5,-3.0,9/19/2004,9/19/2004,6,43.5,39.5,-150,100,0,0,-50,3.0,-110,0,-110,100,100
1246,9/19/2004,2004,2,JAX,DEN,DEN,-3.0,38.0,,79.0,14.0,69.0,7.0,6.0,False,False,13.0,-25.0,25.0,2.0,9/19/2004,9/19/2004,6,40.0,36.0,-150,100,0,0,-50,-4.0,100,0,100,-110,-110
1249,9/19/2004,2004,2,NYG,WAS,WAS,-3.0,40.0,,58.0,19.0,61.0,20.0,14.0,False,False,34.0,-6.0,6.0,-3.0,9/19/2004,9/19/2004,6,42.0,38.0,-150,100,0,0,-50,-9.0,100,0,100,-110,-110
1251,9/19/2004,2004,2,TB,SEA,SEA,-3.0,37.0,,80.0,6.0,70.0,6.0,10.0,False,False,16.0,-21.0,21.0,-1.0,9/19/2004,9/19/2004,6,39.0,35.0,-150,100,0,0,-50,1.0,-110,0,-110,100,100
1252,9/19/2004,2004,2,TEN,IND,IND,-1.5,47.0,,67.0,10.0,55.0,17.0,31.0,False,False,48.0,1.0,1.0,-12.5,9/19/2004,9/19/2004,6,49.0,45.0,100,100,0,0,200,12.5,-110,0,-110,100,100
1255,9/26/2004,2004,3,CIN,BAL,BAL,-1.5,35.0,,64.0,8.0,62.0,9.0,23.0,False,False,32.0,-3.0,3.0,-12.5,9/26/2004,9/26/2004,6,37.0,33.0,-150,100,0,0,-50,12.5,-110,0,-110,100,100
1257,9/26/2004,2004,3,DET,PHI,PHI,-4.5,44.0,DOME,72.0,0.0,,13.0,30.0,False,False,43.0,-1.0,1.0,-12.5,9/26/2004,9/26/2004,6,46.0,42.0,100,100,0,0,200,12.5,-110,0,-110,100,100
1267,10/3/2004,2004,4,ARI,NO,NO,-3.5,40.0,,83.0,6.0,24.0,34.0,10.0,False,False,44.0,4.0,4.0,-20.5,10/3/2004,10/3/2004,6,42.0,38.0,100,-150,0,0,-50,-27.5,100,0,100,-110,-110
1268,10/3/2004,2004,4,BUF,NE,NE,-5.5,35.0,,50.0,10.0,72.0,17.0,31.0,False,False,48.0,13.0,13.0,-8.5,10/3/2004,10/3/2004,6,37.0,33.0,100,-150,0,0,-50,8.5,-110,0,-110,100,100
1270,10/3/2004,2004,4,CHI,PHI,PHI,-8.5,40.5,,51.0,10.0,46.0,9.0,19.0,False,False,28.0,-12.5,12.5,-1.5,10/3/2004,10/3/2004,6,42.5,38.5,-150,100,0,0,-50,1.5,-110,0,-110,100,100
1271,10/3/2004,2004,4,CLE,WAS,WAS,-2.5,36.0,,50.0,9.0,64.0,17.0,13.0,False,False,30.0,-6.0,6.0,-1.5,10/3/2004,10/3/2004,6,38.0,34.0,-150,100,0,0,-50,-6.5,100,0,100,-110,-110
1273,10/3/2004,2004,4,HOU,OAK,OAK,-2.0,42.0,DOME,72.0,0.0,,30.0,17.0,False,False,47.0,5.0,5.0,-11.0,10/3/2004,10/3/2004,6,44.0,40.0,100,-150,0,0,-50,-15.0,100,0,100,-110,-110
1274,10/3/2004,2004,4,JAX,IND,IND,-4.0,42.0,,82.0,8.0,71.0,17.0,24.0,False,False,41.0,-1.0,1.0,-3.0,10/3/2004,10/3/2004,6,44.0,40.0,100,100,0,0,200,3.0,-110,0,-110,100,100
1275,10/3/2004,2004,4,MIA,NYJ,NYJ,-5.5,36.0,,82.0,12.0,74.0,9.0,17.0,False,False,26.0,-10.0,10.0,-2.5,10/3/2004,10/3/2004,6,38.0,34.0,-150,100,0,0,-50,2.5,-110,0,-110,100,100
1277,10/3/2004,2004,4,SF,,LAR,-4.0,44.0,,56.0,14.0,87.0,14.0,24.0,False,False,38.0,-6.0,6.0,-6.0,10/3/2004,10/3/2004,6,46.0,42.0,-150,100,0,0,-50,6.0,-110,0,-110,100,100
1278,10/3/2004,2004,4,TB,DEN,DEN,-3.0,35.0,,80.0,5.0,70.0,13.0,16.0,False,False,29.0,-6.0,6.0,0.0,10/3/2004,10/3/2004,6,37.0,33.0,-150,100,0,0,-50,0.0,-110,110,0,-110,0
1283,10/10/2004,2004,5,HOU,MIN,MIN,-3.5,50.0,DOME,72.0,0.0,,28.0,34.0,False,False,62.0,12.0,12.0,-2.5,10/10/2004,10/10/2004,6,52.0,48.0,100,-150,0,0,-50,2.5,-110,0,-110,100,100
1291,10/10/2004,2004,5,WAS,BAL,PICK,0.0,34.0,,65.0,11.0,64.0,10.0,17.0,False,False,27.0,-7.0,7.0,-7.0,10/10/2004,10/10/2004,6,36.0,32.0,-150,100,0,0,-50,7.0,-110,0,-110,100,100
1299,10/17/2004,2004,6,JAX,KC,KC,-2.5,44.0,,71.0,8.0,67.0,22.0,16.0,False,False,38.0,-6.0,6.0,-3.5,10/17/2004,10/17/2004,6,46.0,42.0,-150,100,0,0,-50,-8.5,100,0,100,-110,-110
1301,10/17/2004,2004,6,NO,MIN,MIN,-3.5,53.0,DOME,72.0,0.0,,31.0,38.0,False,False,69.0,16.0,16.0,-3.5,10/17/2004,10/17/2004,6,55.0,51.0,100,-150,0,0,-50,3.5,-110,0,-110,100,100
1303,10/17/2004,2004,6,OAK,DEN,DEN,-2.5,42.0,,62.0,11.0,82.0,3.0,31.0,False,False,34.0,-8.0,8.0,-25.5,10/17/2004,10/17/2004,6,44.0,40.0,-150,100,0,0,-50,25.5,-110,0,-110,100,100
1306,10/24/2004,2004,7,ARI,SEA,SEA,-6.5,40.0,,67.0,6.0,42.0,25.0,17.0,False,False,42.0,2.0,2.0,-1.5,10/24/2004,10/24/2004,6,42.0,38.0,100,-150,0,150,100,-14.5,100,0,100,-110,-110
1309,10/24/2004,2004,7,CLE,PHI,PHI,-7.0,41.5,,58.0,12.0,82.0,31.0,34.0,False,False,65.0,23.5,23.5,4.0,10/24/2004,10/24/2004,6,43.5,39.5,100,-150,0,0,-50,-4.0,100,0,100,-110,-110
1313,10/24/2004,2004,7,MIA,,LAR,-5.0,37.5,,77.0,7.0,71.0,31.0,14.0,False,False,45.0,7.5,7.5,-12.0,10/24/2004,10/24/2004,6,39.5,35.5,100,-150,0,0,-50,-22.0,100,0,100,-110,-110
1319,10/25/2004,2004,7,CIN,DEN,DEN,-7.0,42.5,,56.0,4.0,67.0,23.0,10.0,False,False,33.0,-9.5,9.5,-6.0,10/25/2004,10/25/2004,0,44.5,40.5,-150,100,0,0,-50,-20.0,100,0,100,-110,-110
1325,10/31/2004,2004,8,KC,IND,IND,-1.0,56.5,,53.0,10.0,63.0,45.0,35.0,False,False,80.0,23.5,23.5,-9.0,10/31/2004,10/31/2004,6,58.5,54.5,100,-150,0,0,-50,-11.0,100,0,100,-110,-110
1328,10/31/2004,2004,8,PIT,NE,NE,-3.0,42.0,,61.0,14.0,56.0,34.0,20.0,False,False,54.0,12.0,12.0,-11.0,10/31/2004,10/31/2004,6,44.0,40.0,100,-150,0,0,-50,-17.0,100,0,100,-110,-110
1331,10/31/2004,2004,8,WAS,GB,GB,-1.0,40.5,,68.0,12.0,66.0,14.0,28.0,False,False,42.0,1.5,1.5,-13.0,10/31/2004,10/31/2004,6,42.5,38.5,100,100,0,0,200,13.0,-110,0,-110,100,100
1334,11/7/2004,2004,9,BUF,NYJ,NYJ,-3.0,34.0,,51.0,18.0,74.0,22.0,17.0,False,False,39.0,5.0,5.0,-2.0,11/7/2004,11/7/2004,6,36.0,32.0,100,-150,0,0,-50,-8.0,100,0,100,-110,-110
1336,11/7/2004,2004,9,CIN,DAL,PICK,0.0,44.0,,56.0,13.0,64.0,26.0,3.0,False,False,29.0,-15.0,15.0,-23.0,11/7/2004,11/7/2004,6,46.0,42.0,-150,100,0,0,-50,-23.0,100,0,100,-110,-110
1341,11/7/2004,2004,9,PIT,PHI,PHI,-1.5,44.5,,56.0,12.0,55.0,27.0,3.0,False,False,30.0,-14.5,14.5,-22.5,11/7/2004,11/7/2004,6,46.5,42.5,-150,100,0,0,-50,-25.5,100,0,100,-110,-110
1342,11/7/2004,2004,9,SF,SEA,SEA,-7.0,40.5,,54.0,9.0,85.0,27.0,42.0,False,False,69.0,28.5,28.5,-8.0,11/7/2004,11/7/2004,6,42.5,38.5,100,-150,0,0,-50,8.0,-110,0,-110,100,100
1343,11/7/2004,2004,9,TB,KC,KC,-3.0,45.5,,65.0,7.0,66.0,34.0,31.0,False,False,65.0,19.5,19.5,0.0,11/7/2004,11/7/2004,6,47.5,43.5,100,-150,0,0,-50,-6.0,100,0,100,-110,-110
1347,11/14/2004,2004,10,CLE,PIT,PIT,-3.5,41.0,,36.0,5.0,59.0,10.0,24.0,False,False,34.0,-7.0,7.0,-10.5,11/14/2004,11/14/2004,6,43.0,39.0,-150,100,0,0,-50,10.5,-110,0,-110,100,100
1352,11/14/2004,2004,10,NO,KC,KC,-3.5,56.5,DOME,72.0,0.0,,27.0,20.0,False,False,47.0,-9.5,9.5,-3.5,11/14/2004,11/14/2004,6,58.5,54.5,-150,100,0,0,-50,-10.5,100,0,100,-110,-110
1353,11/14/2004,2004,10,NYJ,BAL,BAL,-1.0,32.0,,38.0,14.0,48.0,17.0,20.0,False,False,37.0,5.0,5.0,-2.0,11/14/2004,11/14/2004,6,34.0,30.0,100,-150,0,0,-50,2.0,-110,0,-110,100,100
1357,11/15/2004,2004,10,DAL,PHI,PHI,-7.0,43.0,,56.0,8.0,88.0,21.0,49.0,False,False,70.0,27.0,27.0,-21.0,11/15/2004,11/15/2004,0,45.0,41.0,100,-150,0,0,-50,21.0,-110,0,-110,100,100
1361,11/21/2004,2004,11,CHI,IND,IND,-8.0,44.5,,42.0,8.0,64.0,10.0,41.0,False,False,51.0,6.5,6.5,-23.0,11/21/2004,11/21/2004,6,46.5,42.5,100,-150,0,0,-50,23.0,-110,0,-110,100,100
1362,11/21/2004,2004,11,CIN,PIT,PIT,-4.0,40.5,,50.0,8.0,85.0,14.0,19.0,False,False,33.0,-7.5,7.5,-1.0,11/21/2004,11/21/2004,6,42.5,38.5,-150,100,0,0,-50,1.0,-110,0,-110,100,100
1363,11/21/2004,2004,11,CLE,NYJ,NYJ,-1.5,38.0,,49.0,10.0,78.0,7.0,10.0,False,False,17.0,-21.0,21.0,-1.5,11/21/2004,11/21/2004,6,40.0,36.0,-150,100,0,0,-50,1.5,-110,0,-110,100,100
1364,11/21/2004,2004,11,HOU,GB,GB,-3.0,51.0,DOME,72.0,0.0,,13.0,16.0,False,False,29.0,-22.0,22.0,0.0,11/21/2004,11/21/2004,6,53.0,49.0,-150,100,0,0,-50,0.0,-110,110,0,-110,0
1367,11/21/2004,2004,11,NO,DEN,DEN,-6.0,48.5,DOME,72.0,0.0,,13.0,34.0,False,False,47.0,-1.5,1.5,-15.0,11/21/2004,11/21/2004,6,50.5,46.5,100,100,0,0,200,15.0,-110,0,-110,100,100
1368,11/21/2004,2004,11,NYG,ATL,ATL,-3.0,40.0,,49.0,8.0,94.0,10.0,14.0,False,False,24.0,-16.0,16.0,-1.0,11/21/2004,11/21/2004,6,42.0,38.0,-150,100,0,0,-50,1.0,-110,0,-110,100,100
1369,11/21/2004,2004,11,OAK,,LAC,-4.5,47.5,,55.0,23.0,27.0,17.0,23.0,False,False,40.0,-7.5,7.5,-1.5,11/21/2004,11/21/2004,6,49.5,45.5,-150,100,0,0,-50,1.5,-110,0,-110,100,100
1373,11/22/2004,2004,11,KC,NE,NE,-3.0,52.0,,43.0,5.0,85.0,19.0,27.0,False,False,46.0,-6.0,6.0,-5.0,11/22/2004,11/22/2004,0,54.0,50.0,-150,100,0,0,-50,5.0,-110,0,-110,100,100
1375,11/25/2004,2004,12,DET,IND,IND,-8.5,54.0,DOME,72.0,0.0,,9.0,41.0,False,False,50.0,-4.0,4.0,-23.5,11/25/2004,11/25/2004,3,56.0,52.0,-150,100,0,0,-50,23.5,-110,0,-110,100,100
1376,11/28/2004,2004,12,ARI,NYJ,NYJ,-3.0,36.5,,59.0,12.0,47.0,3.0,13.0,False,False,16.0,-20.5,20.5,-7.0,11/28/2004,11/28/2004,6,38.5,34.5,-150,100,0,0,-50,7.0,-110,0,-110,100,100
1378,11/28/2004,2004,12,CAR,TB,TB,-3.0,39.0,,48.0,7.0,75.0,21.0,14.0,False,False,35.0,-4.0,4.0,-4.0,11/28/2004,11/28/2004,6,41.0,37.0,-150,100,0,0,-50,-10.0,100,0,100,-110,-110
1385,11/28/2004,2004,12,NYG,PHI,PHI,-7.0,35.5,,55.0,21.0,81.0,6.0,27.0,False,False,33.0,-2.5,2.5,-14.0,11/28/2004,11/28/2004,6,37.5,33.5,-150,100,0,0,-50,14.0,-110,0,-110,100,100
1387,11/28/2004,2004,12,SF,MIA,PICK,0.0,37.5,,54.0,18.0,48.0,17.0,24.0,False,False,41.0,3.5,3.5,-7.0,11/28/2004,11/28/2004,6,39.5,35.5,100,-150,0,0,-50,7.0,-110,0,-110,100,100
1391,12/5/2004,2004,13,CHI,MIN,MIN,-7.0,40.5,,37.0,9.0,86.0,24.0,14.0,False,False,38.0,-2.5,2.5,-3.0,12/5/2004,12/5/2004,6,42.5,38.5,-150,100,0,0,-50,-17.0,100,0,100,-110,-110
1392,12/5/2004,2004,13,CLE,NE,NE,-11.0,41.0,,40.0,10.0,74.0,15.0,42.0,False,False,57.0,16.0,16.0,-16.0,12/5/2004,12/5/2004,6,43.0,39.0,100,-150,0,0,-50,16.0,-110,0,-110,100,100
1395,12/5/2004,2004,13,JAX,PIT,PIT,-3.0,35.5,,53.0,4.0,86.0,16.0,17.0,False,False,33.0,-2.5,2.5,2.0,12/5/2004,12/5/2004,6,37.5,33.5,-150,100,0,0,-50,-2.0,100,0,100,-110,-110
1396,12/5/2004,2004,13,MIA,BUF,BUF,-5.0,34.0,,72.0,8.0,76.0,32.0,42.0,False,False,74.0,40.0,40.0,-5.0,12/5/2004,12/5/2004,6,36.0,32.0,100,-150,0,0,-50,5.0,-110,0,-110,100,100
1397,12/5/2004,2004,13,NO,CAR,CAR,-2.0,46.5,DOME,72.0,0.0,,21.0,32.0,False,False,53.0,6.5,6.5,-9.0,12/5/2004,12/5/2004,6,48.5,44.5,100,-150,0,0,-50,9.0,-110,0,-110,100,100
1399,12/5/2004,2004,13,OAK,KC,KC,-1.0,52.0,,46.0,8.0,71.0,27.0,34.0,False,False,61.0,9.0,9.0,-6.0,12/5/2004,12/5/2004,6,54.0,50.0,100,-150,0,0,-50,6.0,-110,0,-110,100,100
1412,12/12/2004,2004,14,HOU,IND,IND,-10.0,57.0,DOME,72.0,0.0,,14.0,23.0,False,False,37.0,-20.0,20.0,1.0,12/12/2004,12/12/2004,6,59.0,55.0,-150,100,0,0,-50,-1.0,100,0,100,-110,-110
