,schedule_date,schedule_season,schedule_week,team_home,team_away,team_favorite_id,spread_favorite,over_under_line,weather_detail,weather_temperature,weather_wind_mph,weather_humidity,score_home,score_away,stadium_neutral,schedule_playoff,total,oudiff,oudiff_abs,spread_dist,dates,dateofgame,dayofweek,total_upper2,total_lower2,ouopp_o2,ouopp_u2,tie_ou,tie_ou2,result_total_plus_minus_two,to_spread,usd,cred,result,against_home_dogs,away_Favs
68,10/17/1999,1999,6,ATL,,LAR,-6.0,45.0,DOME,72.0,0.0,,13.0,41.0,False,False,54.0,9.0,9.0,-22.0,10/17/1999,10/17/1999,6,47.0,43.0,100,-150,0,0,-50,22.0,-110,0,-110,100,100
71,10/17/1999,1999,6,CIN,PIT,PIT,-5.0,37.5,,58.0,10.0,86.0,3.0,17.0,False,False,20.0,-17.5,17.5,-9.0,10/17/1999,10/17/1999,6,39.5,35.5,-150,100,0,0,-50,9.0,-110,0,-110,100,100
72,10/17/1999,1999,6,DEN,GB,GB,-3.5,40.0,,32.0,10.0,62.0,31.0,10.0,False,False,41.0,1.0,1.0,-17.5,10/17/1999,10/17/1999,6,42.0,38.0,100,100,0,0,200,-24.5,100,0,100,-110,-110
73,10/17/1999,1999,6,DET,MIN,MIN,-3.5,45.0,DOME,72.0,0.0,,25.0,23.0,False,False,48.0,3.0,3.0,1.5,10/17/1999,10/17/1999,6,47.0,43.0,100,-150,0,0,-50,-5.5,100,0,100,-110,-110
76,10/17/1999,1999,6,NO,TEN,TEN,-3.0,36.5,DOME,72.0,0.0,,21.0,24.0,False,False,45.0,8.5,8.5,0.0,10/17/1999,10/17/1999,6,38.5,34.5,100,-150,0,0,-50,0.0,-110,110,0,-110,0
77,10/17/1999,1999,6,NYJ,IND,IND,-2.5,42.5,,64.0,6.0,85.0,13.0,16.0,False,False,29.0,-13.5,13.5,-0.5,10/17/1999,10/17/1999,6,44.5,40.5,-150,100,0,0,-50,0.5,-110,0,-110,100,100
79,10/18/1999,1999,6,NYG,DAL,DAL,-3.0,37.0,,59.0,19.0,71.0,13.0,10.0,False,False,23.0,-14.0,14.0,0.0,10/18/1999,10/18/1999,0,39.0,35.0,-150,100,0,0,-50,-6.0,100,0,100,-110,-110
80,10/21/1999,1999,7,BAL,KC,KC,-1.0,36.0,,51.0,5.0,74.0,8.0,35.0,False,False,43.0,7.0,7.0,-26.0,10/21/1999,10/21/1999,3,38.0,34.0,100,-150,0,0,-50,26.0,-110,0,-110,100,100
92,10/31/1999,1999,9,ARI,NE,NE,-3.0,40.5,,74.0,7.0,14.0,3.0,27.0,False,False,30.0,-10.5,10.5,-21.0,10/31/1999,10/31/1999,6,42.5,38.5,-150,100,0,0,-50,21.0,-110,0,-110,100,100
94,10/31/1999,1999,8,BAL,BUF,BUF,-3.5,36.5,,59.0,4.0,80.0,10.0,13.0,False,False,23.0,-13.5,13.5,0.5,10/31/1999,10/31/1999,6,38.5,34.5,-150,100,0,0,-50,-0.5,100,0,100,-110,-110
95,10/31/1999,1999,8,CIN,JAX,JAX,-12.5,38.0,,62.0,6.0,73.0,10.0,41.0,False,False,51.0,13.0,13.0,-18.5,10/31/1999,10/31/1999,6,40.0,36.0,100,-150,0,0,-50,18.5,-110,0,-110,100,100
96,10/31/1999,1999,9,DEN,MIN,MIN,-2.5,45.0,,51.0,10.0,28.0,20.0,23.0,False,False,43.0,-2.0,2.0,-0.5,10/31/1999,10/31/1999,6,47.0,43.0,-150,100,150,0,100,0.5,-110,0,-110,100,100
97,10/31/1999,1999,9,DET,TB,TB,-2.5,35.0,DOME,72.0,0.0,,20.0,3.0,False,False,23.0,-12.0,12.0,-14.5,10/31/1999,10/31/1999,6,37.0,33.0,-150,100,0,0,-50,-19.5,100,0,100,-110,-110
102,10/31/1999,1999,8,PHI,NYG,NYG,-2.5,33.5,,59.0,6.0,90.0,17.0,23.0,False,False,40.0,6.5,6.5,-3.5,10/31/1999,10/31/1999,6,35.5,31.5,100,-150,0,0,-50,3.5,-110,0,-110,100,100
103,10/31/1999,1999,8,TEN,,LAR,-3.0,44.5,,65.0,6.0,65.0,24.0,21.0,False,False,45.0,0.5,0.5,0.0,10/31/1999,10/31/1999,6,46.5,42.5,100,100,0,0,200,-6.0,100,0,100,-110,-110
106,11/7/1999,1999,10,ATL,JAX,JAX,-6.0,41.0,DOME,72.0,0.0,,7.0,30.0,False,False,37.0,-4.0,4.0,-17.0,11/7/1999,11/7/1999,6,43.0,39.0,-150,100,0,0,-50,17.0,-110,0,-110,100,100
108,11/7/1999,1999,10,CLE,BAL,BAL,-3.5,32.5,,43.0,11.0,56.0,9.0,41.0,False,False,50.0,17.5,17.5,-28.5,11/7/1999,11/7/1999,6,34.5,30.5,100,-150,0,0,-50,28.5,-110,0,-110,100,100
109,11/7/1999,1999,10,DET,,LAR,-4.0,45.0,DOME,72.0,0.0,,31.0,27.0,False,False,58.0,13.0,13.0,0.0,11/7/1999,11/7/1999,6,47.0,43.0,100,-150,0,0,-50,-8.0,100,0,100,-110,-110
113,11/7/1999,1999,10,NO,TB,TB,-3.5,33.5,DOME,72.0,0.0,,16.0,31.0,False,False,47.0,13.5,13.5,-11.5,11/7/1999,11/7/1999,6,35.5,31.5,100,-150,0,0,-50,11.5,-110,0,-110,100,100
119,11/14/1999,1999,11,ARI,DET,DET,-5.5,35.5,,75.0,3.0,26.0,23.0,19.0,False,False,42.0,6.5,6.5,1.5,11/14/1999,11/14/1999,6,37.5,33.5,100,-150,0,0,-50,-9.5,100,0,100,-110,-110
121,11/14/1999,1999,11,CHI,MIN,MIN,-6.5,43.0,,54.0,15.0,49.0,24.0,27.0,False,False,51.0,8.0,8.0,3.5,11/14/1999,11/14/1999,6,45.0,41.0,100,-150,0,0,-50,-3.5,100,0,100,-110,-110
